pl_name,disc_year,discoverymethod,pl_orbper,pl_orbsmax,pl_rade,pl_masse,pl_bmasse,pl_dens,pl_eqt,pl_insol,pl_orbeccen,pl_orbincl,st_teff,st_rad,st_mass,st_lum,st_age,sy_dist
"HAT-P-45 b",2014,"Transit",3.12899200000,0.0452000000,15.98400000,2.83492000000000e+02,283.49200000,0.380000,1652.00,1052.2390,0.049000,87.80000,6330.00,1.319000,1.259000,0.40000,2.0000,298.64000000
"HAT-P-44 b",2014,"Transit",4.30121900000,0.0507000000,13.92200000,1.11871000000000e+02,111.87100000,0.230000,1108.00,185.1190,0.044000,89.10000,5295.00,0.949000,0.942000,-0.19400,7.5000,347.85000000
"MOA-2010-BLG-073L b",2012,"Microlensing",,1.2100000000,12.40000000,3.50000000000000e+03,3500.00000000,10.100000,,,,,,,0.160000,,,2800.00000000
"HAT-P-27 b",2011,"Transit",3.03957700000,0.0400000000,11.43000000,1.97050000000000e+02,197.05000000,0.760000,1091.99,336.0384,0.000000,85.00000,5316.00,0.864673,0.916000,-0.26926,4.4000,199.17300000
"DENIS-P J082303.1-491201 b",2013,"Astrometry",246.36000000000,0.3600000000,11.90000000,9.05777000000000e+03,9057.77000000,29.500000,,,0.345000,56.60000,,,0.075000,,1.0000,20.77000000
"Kepler-31 b",2011,"Transit",20.86130000000,0.1600000000,5.50000000,3.67418000000000e+01,36.74180000,0.780000,781.00,91.4740,0.000000,89.88000,6340.00,1.220000,1.210000,0.30134,0.2800,1664.64000000
"Kepler-32 f",2012,"Transit",0.74296000000,0.0130000000,0.82000000,9.69228000000000e+02,969.22800000,1.500000,1026.00,349.6450,0.000000,88.93000,3900.00,0.530000,0.580000,-1.29243,5.6000,323.84700000
"HD 66428 c",2021,"Radial Velocity",10478.84437000000,9.4080000000,13.50000000,5.60649309948000e+02,560.64930995,1.250000,,,0.207000,93.93800,5716.00,1.130000,1.010000,0.09579,3.5150,53.28170000
"KMT-2023-BLG-1896L b",2025,"Microlensing",,2.8600000000,4.19000000,1.63500000000000e+01,16.35000000,1.220000,,,,,,,0.720000,,,5490.00000000
"HD 190984 b",2009,"Radial Velocity",4885.00000000000,5.5000000000,13.00000000,1.13782569706000e+03,1137.82569706,2.850000,,,0.570000,64.00000,5988.00,1.530000,0.910000,0.43000,,148.18700000
"Kepler-422 b",2014,"Transit",7.89144830000,0.0820000000,12.89000000,1.36660000000000e+02,136.66000000,0.380000,1028.00,264.9830,0.000000,88.30000,5972.00,1.240000,1.150000,0.24000,3.4000,722.79500000
"Kepler-426 b",2014,"Transit",3.21751883000,0.0414000000,12.22000000,1.08060000000000e+02,108.06000000,0.260000,1300.00,410.7230,0.180000,85.74000,5725.00,0.920000,0.910000,-0.08900,6.0000,843.69500000
"Kepler-16 b",2011,"Transit",228.77600000000,0.7048000000,8.44930000,1.05833000000000e+02,105.83300000,0.964000,,,0.006900,90.03220,4450.00,0.648900,0.689700,-0.90301,3.8000,75.08520000
"KOI-94 d",2013,"Transit",22.34298900000,0.1684000000,11.27000000,1.06000000000000e+02,106.00000000,0.363000,806.00,97.1200,0.022000,89.87100,6182.00,1.520000,1.277000,0.47900,3.1600,477.05200000
"KOI-94 b",2013,"Transit",3.74320800000,0.0511900000,1.71000000,1.05000000000000e+01,10.50000000,10.100000,1486.00,1053.1810,0.250000,89.30000,6182.00,1.520000,1.277000,0.47900,3.1600,477.05200000
"Kepler-35 b",2011,"Transit",131.45800000000,0.6034700000,8.16000000,4.03630000000000e+01,40.36300000,0.410000,,,0.042000,90.76000,5606.00,1.028400,0.887700,-0.02700,,1819.17000000
"HD 50554 b",2002,"Radial Velocity",1293.00000000000,2.3530000000,12.80000000,1.85929618095000e+03,1859.29618095,4.870000,,,0.501000,61.00000,5987.00,1.020000,1.040000,0.14300,2.1600,31.16640000
"Kepler-428 b",2014,"Transit",3.52563254000,0.0433000000,12.11000000,4.03630000000000e+02,403.63000000,1.020000,1070.00,195.0880,0.220000,89.36000,5150.00,0.800000,0.870000,-0.39000,5.0000,686.28400000
"Kepler-425 b",2014,"Transit",3.79701816000,0.0464000000,10.96200000,7.94500000000000e+01,79.45000000,0.270000,1070.00,229.0360,0.330000,87.02000,5170.00,0.860000,0.930000,-0.32300,5.0000,646.64700000
"WASP-70 A b",2014,"Transit",3.71302030000,0.0485300000,13.04700000,1.87512000000000e+02,187.51200000,0.499000,1387.00,649.1548,0.000000,87.12000,5763.00,1.215000,1.106000,0.16240,9.5000,222.35500000
"KOI-94 e",2013,"Transit",54.32031000000,0.3046000000,6.56000000,3.50000000000000e+01,35.00000000,0.600000,584.00,29.7000,0.019000,89.76000,6182.00,1.520000,1.277000,0.47900,3.1600,477.05200000
"Kepler-396 c",2013,"Transit",88.50500000000,0.3894600000,5.30000000,1.79000000000000e+01,17.90000000,0.661000,390.00,5.2440,0.000000,90.00000,5656.00,1.060000,0.850000,-0.13461,0.6200,223.75700000
"MOA-2010-BLG-477L b",2012,"Microlensing",,2.0000000000,13.60000000,4.80000000000000e+02,480.00000000,1.050000,,,,,5950.00,,0.670000,,,2300.00000000
"HD 166724 b",2012,"Radial Velocity",5144.00000000000,5.4200000000,13.00000000,1.20774794660000e+03,1207.74794660,3.020000,,,0.734000,68.00000,5127.00,0.797485,0.810000,-0.50900,4.0000,45.13420000
"Kepler-122 f",2014,"Transit Timing Variations",56.26800000000,0.2857500000,1.75000000,3.60000000000000e+01,36.00000000,36.900000,543.00,21.5240,0.000000,89.97000,5917.00,0.949000,1.030000,0.26993,7.9400,1027.45000000
"Kepler-96 b",2014,"Transit",16.23850000000,0.1261000000,2.67000000,8.46000000000000e+00,8.46000000,2.260000,711.00,57.5240,0.000000,87.94000,5690.00,1.020000,1.000000,-0.05231,2.3400,122.88100000
"KOI-13 b",2011,"Transit",1.76358800000,0.0364100000,16.94800800,2.94946240000000e+03,2949.46240000,3.600000,2550.00,25339.9010,0.000640,86.77000,7650.00,1.740000,1.720000,0.97100,1.1200,519.09600000
"Kepler-17 b",2011,"Transit",1.48571080000,0.0259100000,14.68000000,7.78650000000000e+02,778.65000000,1.350000,1570.00,1481.7660,0.011000,87.20000,5781.00,1.010340,1.040000,0.01164,1.8000,720.75300000
"TOI-7510 d",2025,"Transit",48.86446800000,0.2672000000,10.52000000,1.90000000000000e+02,190.00000000,0.890000,542.40,20.6036,0.040000,89.31200,5720.00,1.035000,1.063000,0.01115,4.4000,249.00600000
"CoRoT-23 b",2011,"Transit",3.63130000000,0.0480000000,11.77000000,8.89900000000000e+02,889.90000000,3.000000,1660.00,,0.160000,85.70000,5900.00,1.610000,1.140000,0.08678,7.2000,1060.97000000
"HD 150706 b",2012,"Radial Velocity",5894.00000000000,6.7000000000,13.30000000,7.72323029010000e+02,772.32302901,1.800000,,,0.380000,70.00000,5961.00,0.960000,1.170000,0.03175,3.0000,28.26970000
"OGLE-2011-BLG-0251L b",2012,"Microlensing",,2.7200000000,14.20000000,1.70000000000000e+02,170.00000000,0.326000,,,,,,,0.260000,,,2570.00000000
"Kepler-414 c",2014,"Transit Timing Variations",7.17100000000,0.0719500000,3.01000000,2.99000000000000e+01,29.90000000,6.020000,890.00,137.0860,0.000000,89.43000,5536.00,0.946000,0.890000,-0.16917,1.5500,413.46000000
"Kepler-42 c",2011,"Transit",0.45328509000,0.0060000000,0.73000000,6.03370000000000e+01,60.33700000,98.000000,720.00,82.1250,0.000000,81.11000,3068.00,0.170000,0.130000,-2.62000,4.5000,40.05950000
"Kepler-33 c",2011,"Transit",13.17562000000,0.1189000000,3.20000000,3.90000000000000e-01,0.39000000,0.130000,1009.00,241.7590,0.000000,88.19000,5904.00,1.820000,1.291000,0.55600,4.2700,1209.16000000
"HD 168863 b",2022,"Radial Velocity",14773.93272000000,10.9610000000,12.70000000,2.15487659946000e+03,2154.87659946,5.780000,,,0.187000,129.83900,4905.00,0.777826,0.800000,-0.50098,,39.89790000
"Kepler-415 b",2014,"Transit Timing Variations",4.17600000000,0.0426000000,1.21000000,1.19900000000000e+02,119.90000000,372.000000,694.00,69.8340,0.000000,89.41000,4362.00,0.643000,0.670000,-0.80504,4.9000,530.48700000
"Kepler-338 e",2014,"Transit Timing Variations",9.34100000000,0.0897900000,1.56000000,8.50000000000000e+00,8.50000000,12.300000,1143.00,428.5240,0.050000,87.49000,5999.00,1.735000,1.140000,0.58570,6.4600,552.79800000
"Kepler-33 e",2011,"Transit",31.78440000000,0.2138000000,4.02000000,5.57000000000000e+00,5.57000000,0.800000,752.00,74.7200,0.000000,88.94000,5904.00,1.820000,1.291000,0.55600,4.2700,1209.16000000
"Kepler-46 c",2012,"Transit Timing Variations",57.01100000000,0.2799000000,13.50000000,1.19499000000000e+02,119.49900000,0.267000,455.00,,0.014600,87.40000,5155.00,0.938000,0.902000,-0.25500,9.7000,777.06000000
"Kepler-46 b",2012,"Transit",33.60134000000,0.1968000000,9.05700000,1.90700000000000e+03,1907.00000000,14.000000,543.00,10.9000,0.010000,89.03800,5155.00,0.938000,0.902000,-0.25500,9.7000,777.06000000
"USco CTIO 108 b",2008,"Imaging",,670.0000000000,12.30000000,4.44962000000000e+03,4449.62000000,13.100000,,,,,2700.00,0.345365,0.060000,-1.95000,0.0030,144.01900000
"Kepler-418 b",2014,"Transit",86.67856000000,0.3924900000,13.45000000,3.49611247700000e+02,349.61124770,,434.00,8.8770,0.200000,89.95200,5820.00,1.090000,0.980000,0.11114,7.0000,1002.53000000
"Kepler-33 f",2011,"Transit",41.02902000000,0.2535000000,4.46000000,9.60000000000000e+00,9.60000000,0.900000,691.00,53.1830,0.000000,89.17000,5904.00,1.820000,1.291000,0.55600,4.2700,1209.16000000
"Kepler-33 d",2011,"Transit",21.77596000000,0.1662000000,5.35000000,3.91000000000000e+00,3.91000000,0.250000,853.00,123.6910,0.000000,88.71000,5904.00,1.820000,1.291000,0.55600,4.2700,1209.16000000
"Kepler-52 b",2012,"Transit",7.87735650000,0.0637000000,2.10000000,1.35000000000000e+02,135.00000000,3.350000,553.00,22.7200,0.000000,89.92000,4075.00,0.520000,0.540000,-0.99568,1.0100,321.54200000
"Kepler-58 b",2012,"Transit",10.21849540000,0.0929100000,2.78000000,3.55000000000000e+01,35.50000000,10.100000,920.00,112.9920,0.040000,88.76000,5843.00,1.030000,0.950000,-0.00422,2.1400,969.25200000
"HD 183263 c",2008,"Radial Velocity",4667.97841000000,5.5850000000,12.50000000,2.95898246917000e+03,2958.98246917,8.320000,,,0.051000,73.71800,5948.00,1.230000,1.060000,0.25025,8.1300,54.19550000
"Kepler-62 e",2013,"Transit",122.38740000000,0.4270000000,1.61000000,3.60000000000000e+01,36.00000000,,270.00,1.3520,0.000000,89.98000,4925.00,0.640000,0.690000,-0.67800,7.0000,300.87400000
"CFBDSIR J145829+101343 b",2011,"Imaging",10037.50000000000,2.6000000000,12.40000000,3.33710000000000e+03,3337.10000000,9.620000,370.00,,,,580.50,,0.021000,,,23.10000000
"Kepler-276 d",2013,"Transit",48.64800000000,0.2466600000,2.80000000,1.63000000000000e+01,16.30000000,0.760000,489.00,11.2740,0.000000,87.42000,5693.00,1.030000,1.100000,-0.08948,0.4000,1144.86000000
"Kepler-114 c",2013,"Transit",8.04100000000,0.0648200000,1.60000000,2.80000000000000e+00,2.80000000,1.180000,507.00,51.6230,0.000000,89.36000,4660.00,0.540000,0.560000,-0.68530,2.6900,259.53300000
"Kepler-297 b",2014,"Transit",38.87182600000,0.2170000000,2.87000000,4.85000000000000e+01,48.50000000,11.300000,509.00,16.4640,0.000000,89.97000,5619.00,0.915000,0.927000,-0.09608,1.9000,692.14000000
"WASP-83 b",2015,"Transit",4.97125200000,0.0590000000,11.65736000,9.53490000000000e+01,95.34900000,0.350000,1120.00,238.8750,0.000000,88.90000,5510.00,1.050000,1.110000,-0.04966,5.0000,271.10300000
"WASP-89 b",2015,"Transit",3.35642270000,0.0427000000,11.65736000,1.87519700000000e+03,1875.19700000,7.000000,1120.00,278.8533,0.193000,89.40000,5130.00,0.880000,0.920000,-0.34333,1.3000,290.94600000
"HATS-6 b",2015,"Transit",3.32527250000,0.0362300000,11.18658200,1.01387770000000e+02,101.38777000,0.399000,712.80,47.3315,0.000000,88.21000,3724.00,0.570000,0.574000,-1.09983,8.1000,169.31800000
"Kepler-450 c",2015,"Transit",15.41313500000,0.1335100000,2.62000000,1.25000000000000e+01,12.50000000,8.800000,944.00,213.7310,0.020000,88.73000,6197.21,1.641620,1.190000,0.55403,2.5700,455.98200000
"Kepler-81 c",2012,"Transit",12.04000000000,0.0834700000,2.37000000,4.30000000000000e+00,4.30000000,1.770000,502.00,15.6200,0.000000,89.51000,4385.00,0.590000,0.640000,-0.88941,3.6300,348.29100000
"Kepler-412 b",2014,"Transit",1.72086040000,0.0289700000,15.03126900,2.99078030000000e+02,299.07803000,0.520000,1850.00,2144.3070,0.003800,80.55900,5750.00,1.287000,1.167000,0.26854,5.3700,1086.24000000
"Kepler-92 b",2013,"Transit",13.74900000000,0.1223200000,3.51000000,6.43000000000000e+01,64.30000000,2.098071,975.00,257.7760,0.170000,87.19000,5883.00,1.700000,1.210000,0.55818,3.9800,477.99200000
"Kepler-44 b",2011,"Transit",3.24672930000,0.0446000000,12.22000000,3.17820000000000e+02,317.82000000,0.930000,1544.00,1109.2230,0.066000,84.96000,5800.00,1.350000,1.120000,0.34743,5.8000,1188.00000000
"Kepler-41 b",2011,"Transit",1.85555820000,0.0310100000,14.46000000,1.77980000000000e+02,177.98000000,0.330000,1790.00,2036.7490,0.000000,82.51000,5750.00,1.290000,1.150000,0.26161,4.4000,1093.08000000
"Kepler-450 d",2015,"Transit",7.51464000000,0.0827000000,0.83700000,1.76000000000000e+01,17.60000000,77.000000,1199.00,557.2050,0.140000,87.91000,6197.21,1.641620,1.190000,0.55403,2.5700,455.98200000
"POTS-1 b",2013,"Transit",3.16062960000,0.0373400000,10.54800000,7.34160000000000e+02,734.16000000,3.440000,,,,88.06000,4400.00,0.588000,0.695000,-1.08690,,747.95900000
